OTUID	A1_tag01_tag01_4	A1_tag02_tag02_4	A1_tag03_tag03_4	A2_tag04_tag04_4	A2_tag05_tag05_4	A2_tag06_tag06_4	A3_tag07_tag07_4	A3_tag08_tag08_4	A3_tag09_tag09_4	B1_tag10_tag10_4	B1_tag11_tag11_4	B1_tag12_tag12_4	B2_tag26_tag26_4	B2_tag27_tag27_4	B2_tag28_tag28_4	B3_tag29_tag29_4	B3_tag31_tag31_4	B3_tag32_tag32_4	C1_tag33_tag33_4	C1_tag34_tag34_4	C1_tag35_tag35_4	C2_tag36_tag36_4	C2_tag37_tag37_4	C2_tag38_tag38_4	C3_tag51_tag51_4	C3_tag52_tag52_4	C3_tag53_tag53_4	D1_tag54_tag54_4	D1_tag55_tag55_4	D1_tag56_tag56_4	D2_tag61_tag61_4	D2_tag62_tag62_4	D2_tag63_tag63_4	D3_tag01_tag01_5	D3_tag02_tag02_5	D3_tag03_tag03_5	E1_tag04_tag04_5	E1_tag05_tag05_5	E1_tag06_tag06_5	E2_tag07_tag07_5	E2_tag08_tag08_5	E2_tag09_tag09_5	E3_tag10_tag10_5	E3_tag11_tag11_5	E3_tag12_tag12_5	F1_tag26_tag26_5	F1_tag27_tag27_5	F1_tag28_tag28_5	F2_tag29_tag29_5	F2_tag31_tag31_5	F2_tag32_tag32_5	F3_tag33_tag33_5	F3_tag34_tag34_5	F3_tag35_tag35_5	G1_tag36_tag36_5	G1_tag37_tag37_5	G1_tag38_tag38_5	G2_tag51_tag51_5	G2_tag52_tag52_5	G2_tag53_tag53_5	G3_tag54_tag54_5	G3_tag55_tag55_5	G3_tag56_tag56_5	NC_tag61_tag61_5	NC_tag62_tag62_5	NC_tag63_tag63_5	PNC55_tag76_tag76_1	PNC55_tag77_tag77_1	PNC55_tag78_tag78_1	PNC56_tag76_tag76_2	PNC56_tag77_tag77_2	PNC56_tag78_tag78_2	PNC57_tag85_tag85_3	PNC57_tag86_tag86_3	PNC57_tag87_tag87_3	PNC58_tag64_tag64_4	PNC58_tag65_tag65_4	PNC58_tag66_tag66_4	PNC59_tag64_tag64_5	PNC59_tag65_tag65_5	PNC59_tag66_tag66_5
HAP144	2188	1054	1084	2579	3648	2687	5658	3337	1352	2789	1581	3594	1317	3639	1138	3412	2179	3780	4563	20883	3265	2102	7891	1435	3874	5317	1645	5949	2721	6068	12029	9236	24647	3220	4289	4335	2414	8737	2753	3133	9171	8046	11498	7470	7081	1453	1904	1412	3985	2074	1823	860	2483	6740	2869	3507	2175	2734	2528	2888	3500	8498	6981	28	24	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP148	84	29	70	26	63	17	46	44	67	41	56	21	104	58	34	44	33	84	16	16	39	63	67	17	37	77	25	80	29	83	60	31	110	29	33	75	49	185	24	5	64	79	49	52	46	52	10	25	49	25	21	7	5	53	82	37	31	11	22	49	40	64	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
