OTUID	A1_tag01_tag01_4	A1_tag02_tag02_4	A1_tag03_tag03_4	A2_tag04_tag04_4	A2_tag05_tag05_4	A2_tag06_tag06_4	A3_tag07_tag07_4	A3_tag08_tag08_4	A3_tag09_tag09_4	B1_tag10_tag10_4	B1_tag11_tag11_4	B1_tag12_tag12_4	B2_tag26_tag26_4	B2_tag27_tag27_4	B2_tag28_tag28_4	B3_tag29_tag29_4	B3_tag31_tag31_4	B3_tag32_tag32_4	C1_tag33_tag33_4	C1_tag34_tag34_4	C1_tag35_tag35_4	C2_tag36_tag36_4	C2_tag37_tag37_4	C2_tag38_tag38_4	C3_tag51_tag51_4	C3_tag52_tag52_4	C3_tag53_tag53_4	D1_tag54_tag54_4	D1_tag55_tag55_4	D1_tag56_tag56_4	D2_tag61_tag61_4	D2_tag62_tag62_4	D2_tag63_tag63_4	D3_tag01_tag01_5	D3_tag02_tag02_5	D3_tag03_tag03_5	E1_tag04_tag04_5	E1_tag05_tag05_5	E1_tag06_tag06_5	E2_tag07_tag07_5	E2_tag08_tag08_5	E2_tag09_tag09_5	E3_tag10_tag10_5	E3_tag11_tag11_5	E3_tag12_tag12_5	F1_tag26_tag26_5	F1_tag27_tag27_5	F1_tag28_tag28_5	F2_tag29_tag29_5	F2_tag31_tag31_5	F2_tag32_tag32_5	F3_tag33_tag33_5	F3_tag34_tag34_5	F3_tag35_tag35_5	G1_tag36_tag36_5	G1_tag37_tag37_5	G1_tag38_tag38_5	G2_tag51_tag51_5	G2_tag52_tag52_5	G2_tag53_tag53_5	G3_tag54_tag54_5	G3_tag55_tag55_5	G3_tag56_tag56_5	NC_tag61_tag61_5	NC_tag62_tag62_5	NC_tag63_tag63_5	PNC55_tag76_tag76_1	PNC55_tag77_tag77_1	PNC55_tag78_tag78_1	PNC56_tag76_tag76_2	PNC56_tag77_tag77_2	PNC56_tag78_tag78_2	PNC57_tag85_tag85_3	PNC57_tag86_tag86_3	PNC57_tag87_tag87_3	PNC58_tag64_tag64_4	PNC58_tag65_tag65_4	PNC58_tag66_tag66_4	PNC59_tag64_tag64_5	PNC59_tag65_tag65_5	PNC59_tag66_tag66_5
HAP165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP176	424	173	175	314	685	279	600	382	146	170	109	121	190	252	98	263	131	314	295	437	270	241	689	124	395	364	152	330	124	255	452	219	529	215	253	284	158	666	166	134	553	503	312	179	127	181	113	97	247	114	109	65	146	459	277	276	116	89	54	63	76	198	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP179	393	151	147	751	407	486	632	309	326	141	238	145	479	503	140	254	127	330	284	62	185	295	729	168	220	279	99	226	86	261	423	289	597	248	222	311	536	573	410	127	319	499	356	494	425	337	142	104	319	99	93	86	35	223	492	318	145	130	131	181	117	266	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
